 node_id,x,y,z
1,0.00000000000,0.00000000000,4.07100009918
2,3.64121318327,0.00000000000,1.82060659164
3,1.12519675377,3.46299952517,1.82060659164
4,-2.94580334541,2.14025140958,1.82060659164
5,-2.94580334541,-2.14025140958,1.82060659164
6,1.12519675377,-3.46299952517,1.82060659164
7,0.00000000000,0.00000000000,-4.07100009918
8,-3.64121318327,0.445920006991E-15,-1.82060659164
9,-1.12519675377,-3.46299952517,-1.82060659164
10,2.94580334541,-2.14025140958,-1.82060659164
11,2.94580334541,2.14025140958,-1.82060659164
12,-1.12519675377,3.46299952517,-1.82060659164
13,0.187733503748,0.00000000000,4.06666914552
14,0.375067565057,0.00000000000,4.05368549954
15,0.561603591384,0.00000000000,4.03207678668
16,0.746944688174,0.00000000000,4.00188898401
17,0.930696503335,0.00000000000,3.96318632242
18,1.11246806631,0.00000000000,3.91605114995
19,1.29187261993,0.00000000000,3.86058375656
20,1.46852844335,0.00000000000,3.79690216079
21,1.64205966423,0.00000000000,3.72514185860
22,1.81209705845,0.00000000000,3.64545553509
23,1.97827883578,0.00000000000,3.55801273964
24,2.14025140958,0.00000000000,3.46299952517
25,2.29767014921,0.00000000000,3.36061805223
26,2.45020011326,0.00000000000,3.25108615889
27,2.59751676220,0.00000000000,3.13463689726
28,2.73930664893,0.00000000000,3.01151803758
29,2.87526808571,0.00000000000,2.88199154107
30,3.00511178605,0.00000000000,2.74633300255
31,3.12856148020,0.00000000000,2.60483106404
32,3.24535450302,0.00000000000,2.45778680061
33,3.35524235286,0.00000000000,2.30551307980
34,3.45799122023,0.00000000000,2.14833389592
35,3.55338248534,0.00000000000,1.98658368069
36,0.580128430718E-01,0.178545172067,4.06666914552
37,0.115902251641,0.356710451799,4.05368549954
38,0.173545053840,0.534116755161,4.03207678668
39,0.230818602504,0.710386613000,4.00188898401
40,0.287601036136,0.885144974190,3.96318632242
41,0.343771538188,1.05802000363,3.91605114995
42,0.399210594126,1.22864387341,3.86058375656
43,0.453800245719,1.39665354541,3.79690216079
44,0.507424342024,1.56169154381,3.72514185860
45,0.559968786519,1.72340671560,3.64545553509
46,0.611321779867,1.88145497781,3.55801273964
47,0.661374057795,2.03550004959,3.46299952517
48,0.710019123575,2.18521416771,3.36061805223
49,0.757153474616,2.33027878394,3.25108615889
50,0.802676822692,2.47038524287,3.13463689726
51,0.846492307324,2.60523543860,3.01151803758
52,0.888506701870,2.73454244901,2.88199154107
53,0.928630611885,2.85803114631,2.74633300255
54,0.966778665327,2.97543878237,2.60483106404
55,1.00286969421,3.08651554779,2.45778680061
56,1.03682690728,3.19102510343,2.30551307980
57,1.06857805345,3.28874508329,2.14833389592
58,1.09805557549,3.37946756758,1.98658368069
59,-0.151879594946,0.110346984865,4.06666914552
60,-0.303436034170,0.220459183354,4.05368549954
61,-0.454346849532,0.330102308650,4.03207678668
62,-0.604290946591,0.439043071987,4.00188898401
63,-0.752949287804,0.547049679021,3.96318632242
64,-0.900005571342,0.653892323021,3.91605114995
65,-1.04514690409,0.759343673835,3.86058375656
66,-1.18806446739,0.863179361574,3.79690216079
67,-1.32845417414,0.965178454017,3.72514185860
68,-1.46601731574,1.06512392668,3.64545553509
69,-1.60046119775,1.16280312459,3.55801273964
70,-1.73149976259,1.25800821475,3.46299952517
71,-1.85885419818,1.35053662834,3.36061805223
72,-1.98225353124,1.44019149174,3.25108615889
73,-2.10143520379,1.52678204540,3.13463689726
74,-2.21614563179,1.61012404975,3.01151803758
75,-2.32614074473,1.69004017717,2.88199154107
76,-2.43118650491,1.76636038933,2.74633300255
77,-2.53105940543,1.83892229895,2.60483106404
78,-2.62554694572,1.90757151534,2.45778680061
79,-2.71444808371,1.97216197288,2.30551307980
80,-2.79757366356,2.03255624181,2.14833389592
81,-2.87474681816,2.08862582064,1.98658368069
82,-0.151879594946,-0.110346984865,4.06666914552
83,-0.303436034170,-0.220459183354,4.05368549954
84,-0.454346849532,-0.330102308650,4.03207678668
85,-0.604290946591,-0.439043071987,4.00188898401
86,-0.752949287804,-0.547049679021,3.96318632242
87,-0.900005571342,-0.653892323021,3.91605114995
88,-1.04514690409,-0.759343673835,3.86058375656
89,-1.18806446739,-0.863179361574,3.79690216079
90,-1.32845417414,-0.965178454017,3.72514185860
91,-1.46601731574,-1.06512392668,3.64545553509
92,-1.60046119775,-1.16280312459,3.55801273964
93,-1.73149976259,-1.25800821475,3.46299952517
94,-1.85885419818,-1.35053662834,3.36061805223
95,-1.98225353124,-1.44019149174,3.25108615889
96,-2.10143520379,-1.52678204540,3.13463689726
97,-2.21614563179,-1.61012404975,3.01151803758
98,-2.32614074473,-1.69004017717,2.88199154107
99,-2.43118650491,-1.76636038933,2.74633300255
100,-2.53105940543,-1.83892229895,2.60483106404
101,-2.62554694572,-1.90757151534,2.45778680061
102,-2.71444808371,-1.97216197288,2.30551307980
103,-2.79757366356,-2.03255624181,2.14833389592
104,-2.87474681816,-2.08862582064,1.98658368069
105,0.580128430718E-01,-0.178545172067,4.06666914552
106,0.115902251641,-0.356710451799,4.05368549954
107,0.173545053840,-0.534116755161,4.03207678668
108,0.230818602504,-0.710386613000,4.00188898401
109,0.287601036136,-0.885144974190,3.96318632242
110,0.343771538188,-1.05802000363,3.91605114995
111,0.399210594126,-1.22864387341,3.86058375656
112,0.453800245719,-1.39665354541,3.79690216079
113,0.507424342024,-1.56169154381,3.72514185860
114,0.559968786519,-1.72340671560,3.64545553509
115,0.611321779867,-1.88145497781,3.55801273964
116,0.661374057795,-2.03550004959,3.46299952517
