 node_id,x_nm,y_nm,z_nm,phi_mV
1,8.70000000000,-1.51710000000,6.95820000000,-22.2410329555
2,10.5201593337,-1.51710000000,5.83327966684,-0.938867766039
3,9.26246016658,0.213974394996,5.83327966684,-64.1541580563
4,7.22746016658,-0.447237186838,5.83327966684,12.9899670849
5,7.22746016658,-2.58696281316,5.83327966684,97.2941563957
6,9.26246016658,-3.24817439500,5.83327966684,-46.1565947696
7,8.70000000000,-1.51710000000,2.88820000000,-34.1234925624
8,6.87984066632,-1.51710000000,4.01312033316,-37.9972010862
9,8.13753983342,-3.24817439500,4.01312033316,-76.4399947721
10,10.1725398334,-2.58696281316,4.01312033316,-37.1369462431
11,10.1725398334,-0.447237186838,4.01312033316,4.74527968217
12,8.13753983342,0.213974394996,4.01312033316,-3.74827981959
13,8.84070312908,-1.51710000000,6.95332995384,-5.45007420768
14,8.98073281273,-1.51710000000,6.93874312478,9.83293603589
15,9.11941882880,-1.51710000000,6.91450932957,20.6679850961
16,9.25609738634,-1.51710000000,6.88074455809,26.0663331865
17,9.39011430265,-1.51710000000,6.83761041819,28.5068207748
18,9.52082813444,-1.51710000000,6.78531336221,32.6475697599
19,9.64761324788,-1.51710000000,6.72410369882,44.1424084587
20,9.76986281316,-1.51710000000,6.65427439500,72.3619095206
21,9.88699170887,-1.51710000000,6.57615967376,105.761068322
22,9.99843932260,-1.51710000000,6.49013341452,22.8062760546
23,10.1036722342,-1.51710000000,6.39660736357,-34.8116796825
24,10.2021867688,-1.51710000000,6.29602916336,-23.9026978115
25,10.2935114076,-1.51710000000,6.18888020993,-12.6694619926
26,10.3772090449,-1.51710000000,6.07567334883,-7.41032941263
27,10.4528790797,-1.51710000000,5.95695042050,-4.43490821273
28,8.74347965805,-1.38328337222,6.95332995384,-2.96388485602
29,8.78675121001,-1.25010722912,6.93874312478,13.2956804404
30,8.82960754586,-1.11820898981,6.91450932957,29.0771932599
31,8.87184354291,-0.988219957029,6.88074455809,36.1696284471
32,8.91325704758,-0.860762295473,6.83761041819,24.6722739587
33,8.95364984300,-0.736446053986,6.78531336221,4.36917128982
34,8.99282859769,-0.615866245672,6.72410369882,-13.7809638112
35,9.03060579092,-0.499600000000,6.65427439500,-26.9776276514
36,9.06680061022,-0.388203800491,6.57615967376,-36.2069194027
37,9.10123981685,-0.282210821232,6.49013341452,-54.3912204440
38,9.13375857489,-0.182128374953,6.39660736357,-110.815450625
39,9.16420124027,-0.884354848805E-01,6.29602916336,-175.441031627
40,9.19242210568,-0.158059199758E-02,6.18888020993,-127.223303755
41,9.21828609799,0.780205913246E-01,6.07567334883,-85.9319193283
42,9.24166942472,0.149987071044,5.95695042050,-75.1870625252
43,8.58616877741,-1.43439677577,6.95332995384,-21.8579303969
44,8.47288238362,-1.35208939284,6.93874312478,-21.0931766167
45,8.36068303974,-1.27057179790,6.91450932957,-24.5449155154
46,8.25010776393,-1.19023415747,6.88074455809,-34.1991361388
47,8.14168580109,-1.11146099050,6.83761041819,-45.7417293641
48,8.03593608978,-1.03462932791,6.78531336221,-38.5475151538
49,7.93336477837,-0.960106908017,6.72410369882,-2.04543643021
50,7.83446280250,-0.888250416447,6.65427439500,37.3345294125
51,7.73970353534,-0.819403778933,6.57615967376,49.9305566339
52,7.64954052186,-0.753896515182,6.49013341452,39.9490745020
53,7.56440530803,-0.692042161704,6.39660736357,29.0735046583
54,7.48470537535,-0.634136771135,6.29602916336,22.5214390552
