 node_id,x_nm,y_nm,z_nm,phi_mV
1,3.68360000000,3.86910000000,4.28190000000,13.4185596273
2,5.22290919571,3.86910000000,3.33055459786,-47.9710615779
3,4.15927270107,5.33307004117,3.33055459786,-110.317654227
4,2.43827270107,4.77388324396,3.33055459786,2.00607010480
5,2.43827270107,2.96431675604,3.33055459786,28.9371436207
6,4.15927270107,2.40512995883,3.33055459786,4.71054397764
7,3.68360000000,3.86910000000,0.839900000000,-37.9753338709
8,2.14429080429,3.86910000000,1.79124540214,75.3070197613
9,3.20792729893,2.40512995883,1.79124540214,64.6908305195
10,4.92892729893,2.96431675604,1.79124540214,11.6988172971
11,4.92892729893,4.77388324396,1.79124540214,60.2522935363
12,3.20792729893,5.33307004117,1.79124540214,-7.09853485559
13,3.80259267084,3.86910000000,4.27778140076,-5.43958994665
14,3.92101580870,3.86910000000,4.26544531585,-15.8250791504
15,4.03830260657,3.86910000000,4.24495078929,-22.0144278456
16,4.15389169626,3.86910000000,4.21639591375,-27.8037032176
17,4.26722983531,3.86910000000,4.17991736103,-34.5386519480
18,4.37777455497,3.86910000000,4.13568972794,-41.3010181407
19,4.48499675656,3.86910000000,4.08392470058,-50.6858860051
20,4.58838324396,3.86910000000,4.02487004117,-57.8995139731
21,4.68743917984,3.86910000000,3.95880840223,-54.1014620446
22,4.78169045415,3.86910000000,3.88605597366,-44.7803716451
23,4.87068595332,3.86910000000,3.80696096939,-36.6066709580
24,4.95399971943,3.86910000000,3.72190196076,-31.5429578163
25,5.03123298895,3.86910000000,3.63128606451,-28.1787385963
26,5.10201610135,3.86910000000,3.53554699427,-29.6327044287
27,5.16601026840,3.86910000000,3.43514298461,-37.9971309235
28,3.72037075749,3.98226875499,4.27778140076,3.72922206772
29,3.75696551962,4.09489585194,4.26544531585,-1.32344544836
30,3.79320913338,4.20644222532,4.24495078929,-3.25910159235
31,3.82892812646,4.31637398229,4.21639591375,-3.12308600873
32,3.86395153754,4.42416495798,4.17991736103,-1.23991375149
33,3.89811173455,4.52929923395,4.13568972794,2.43554124996
34,3.93124521702,4.63127360747,4.08392470058,8.06243668648
35,3.96319339861,4.72960000000,4.02487004117,16.0674654620
36,3.99380336619,4.82380779330,3.95880840223,27.6639026178
37,4.02292861169,4.91344608190,3.88605597366,44.7571336191
38,4.05042973336,4.99808583131,3.80696096939,64.8783883125
39,4.07617510295,5.07732193146,3.72190196076,66.3105642278
40,4.10004149576,5.15077513571,3.63128606451,32.3003798349
41,4.12191468041,5.21809387600,3.53554699427,-14.3023874787
42,4.14168996557,5.27895594559,3.43514298461,-61.6440333456
43,3.58733290709,3.93904213705,4.27778140076,21.5854716820
44,3.49152657603,4.00864951102,4.26544531585,13.8619043902
45,3.39663956334,4.07758896109,4.24495078929,-0.600978246143
46,3.30312602541,4.14553052334,4.21639591375,-14.0733843226
47,3.21143354481,4.21214901000,4.17991736103,-23.4016592558
48,3.12200098797,4.27712556593,4.13568972794,-26.8408846800
49,3.03525640470,4.34014919474,4.08392470058,-24.2697767814
50,2.95161497941,4.40091824732,4.02487004117,-18.0466671997
51,2.87147704389,4.45914186558,3.95880840223,-11.0790877720
52,2.79522616124,4.51454137463,3.88605597366,-5.05459178620
